Accident Index, Vehicles, Basic Method Privacy Loss - 0.8, Basic Method Winner - 0.8, Turn Based Privacy Loss - 0.8, Turn Based Winner - 0.8, Auction Method Privacy Loss - 0.8, Auction Method Winner - 0.8, Modified Auction Method Privacy Loss - 0.8, Modified Auction Method Winner - 0.8, Basic Method Privacy Loss - 0.5, Basic Method Winner - 0.5, Turn Based Privacy Loss - 0.5, Turn Based Winner - 0.5, Auction Method Privacy Loss - 0.5, Auction Method Winner - 0.5, Modified Auction Method Privacy Loss - 0.5, Modified Auction Method Winner - 0.5, Basic Method Privacy Loss - 0.3, Basic Method Winner - 0.3, Turn Based Privacy Loss - 0.3, Turn Based Winner - 0.3, Auction Method Privacy Loss - 0.3, Auction Method Winner - 0.3, Modified Auction Method Privacy Loss - 0.3, Modified Auction Method Winner - 0.3
201501BS70706, v2, 53.541, W, 0, L, 5.023, W, 5.023, W, 21.246, W, 5.023, W, 5.023, W, 5.023, W, 5.023, W, 5.023, W, 5.023, W, 5.023, W
201520W036085, v1, 30.999, L, 9.541, L, 30.999, L, 9.541, L, 9.541, L, 9.541, W, 9.541, L, 9.541, L, 9.541, L, 9.541, W, 9.541, L, 9.541, L
201520W036085, v2, 51.343, W, 36.466, W, 3.008, W, 3.008, W, 14.876, W, 0, L, 3.008, W, 3.008, W, 14.876, W, 0, L, 3.008, W, 3.008, W
2015120048417, v1, 51.261, L, 51.261, L, 51.261, L, 51.261, L, 11.201, L, 0, L, 11.201, W, 0.807, L, 11.201, W, 11.201, W, 0.807, W, 0.807, W
2015120048417, v2, 100, W, 100, W, 100, W, 100, W, 100, W, 26.923, W, 38.538, L, 38.538, W, 11.615, L, 11.615, L, 11.615, L, 0, L
201501VK30295, v1, 100, W, 49.584, W, 100, W, 100, W, 21.797, L, 9.096, W, 21.797, L, 9.096, L, 21.797, W, 9.096, W, 9.096, W, 9.096, W
201501VK30295, v2, 52.571, L, 41.952, L, 52.571, L, 52.571, L, 26.714, W, 0, L, 26.714, W, 26.714, W, 10.619, L, 0, L, 10.619, L, 0, L
201501CW10073, v1, 100, W, 7.934, W, 7.934, W, 7.934, W, 29.731, W, 7.934, W, 7.934, W, 7.934, W, 7.934, W, 7.934, W, 7.934, W, 7.934, W
201501CW10073, v2, 5.985, L, 0, L, 5.985, L, 0, L, 5.985, L, 0, L, 5.985, L, 0, L, 5.985, L, 0, L, 5.985, L, 0, L
201501BS70164, v1, 60.038, L, 6.325, L, 60.038, L, 60.038, L, 23.095, L, 6.325, W, 23.095, L, 6.325, L, 6.325, L, 6.325, W, 6.325, L, 6.325, L
201501BS70164, v2, 100, W, 49.351, W, 23.933, W, 23.933, W, 50.649, W, 0, L, 5.288, W, 5.288, W, 50.649, W, 0, L, 5.288, W, 5.288, W
201501CW10830, v1, 49.048, L, 41.217, L, 49.048, L, 7.831, L, 49.048, L, 24.392, W, 49.048, L, 7.831, L, 7.831, W, 7.831, W, 7.831, W, 7.831, W
201501CW10830, v2, 63.91, W, 48.651, W, 14.684, W, 14.684, W, 29.943, W, 0, L, 14.684, W, 14.684, W, 0, L, 0, L, 0, L, 0, L
201501TX20124, v1, 40.143, L, 0, L, 40.143, L, 40.143, L, 0, L, 0, L, 0, L, 0, L, 0, W, 0, W, 0, W, 0, W
201501TX20124, v2, 100, W, 18.022, W, 100, W, 100, W, 18.022, W, 18.022, W, 18.022, W, 18.022, W, 0, L, 0, L, 0, L, 0, L
201501BS70185, v1, 37.636, L, 0, L, 37.636, L, 37.636, L, 16.146, L, 0, L, 16.146, L, 16.146, L, 0, L, 0, L, 0, L, 0, L
201501BS70185, v2, 100, W, 28.164, W, 64.013, W, 64.013, W, 6.213, W, 6.213, W, 6.213, W, 6.213, W, 6.213, W, 6.213, W, 6.213, W, 6.213, W
201501BS70588, v1, 33.287, W, 33.287, W, 0.208, W, 33.287, W, 33.287, W, 33.287, W, 0.208, W, 33.287, W, 2.007, L, 0, L, 0.208, W, 2.007, L
201501BS70588, v2, 100, L, 100, L, 3.947, L, 58.158, L, 100, L, 100, L, 3.947, L, 58.158, L, 100, W, 38.684, W, 3.947, L, 58.158, W
2015440408774, v1, 63.472, L, 29.279, W, 63.472, L, 63.472, L, 6.041, L, 0, L, 6.041, L, 6.041, L, 6.041, L, 0, L, 6.041, L, 6.041, L
2015440408774, v2, 42.376, W, 3.812, L, 42.376, W, 42.376, W, 42.376, W, 3.812, W, 20.775, W, 20.775, W, 20.775, W, 3.812, W, 20.775, W, 20.775, W
2015440217448, v1, 64.679, L, 0, L, 64.679, L, 64.679, L, 2.277, L, 0, L, 2.277, L, 2.277, L, 2.277, W, 2.277, W, 2.277, W, 2.277, W
2015440217448, v2, 100, W, 31.247, W, 68.753, W, 68.753, W, 40.106, W, 23.832, W, 16.273, W, 16.273, W, 0, L, 0, L, 0, L, 0, L
2015350034815, v1, 52.111, L, 7.424, L, 52.111, L, 6.065, L, 13.489, L, 7.424, L, 13.489, L, 6.065, L, 13.489, L, 7.424, L, 13.489, L, 6.065, L
2015350034815, v2, 50.474, W, 15.511, W, 1.646, W, 1.646, W, 15.511, W, 15.511, W, 1.646, W, 1.646, W, 15.511, W, 15.511, W, 1.646, W, 1.646, W
2015132590525, v1, 43.969, L, 19.312, L, 43.969, L, 19.312, L, 0, L, 0, L, 0, L, 0, L, 0, L, 0, L, 0, L, 0, L
2015132590525, v2, 100, W, 65.879, W, 33.985, W, 33.985, W, 3.953, W, 3.953, W, 3.953, W, 3.953, W, 3.953, W, 3.953, W, 3.953, W, 3.953, W
201501BS70022, v1, 61.214, L, 0, L, 61.214, L, 61.214, L, 11.234, L, 11.234, L, 11.234, L, 11.234, L, 11.234, L, 11.234, L, 11.234, L, 11.234, L
201501BS70022, v2, 100, W, 45.586, W, 100, W, 100, W, 23.716, W, 5.309, W, 5.309, W, 5.309, W, 5.309, W, 5.309, W, 5.309, W, 5.309, W
201501HT20647, v1, 100, W, 33.791, W, 100, W, 100, W, 31.785, L, 0, L, 31.785, L, 11.88, L, 11.88, W, 11.88, W, 11.88, W, 11.88, W
201501HT20647, v2, 24.99, L, 0, L, 24.99, L, 24.99, L, 24.99, W, 15.002, W, 24.99, W, 24.99, W, 9.988, L, 9.988, L, 9.988, L, 0, L
201501YR90765, v1, 35.877, W, 0, L, 35.877, W, 35.877, W, 7.483, W, 0, L, 7.483, W, 7.483, W, 7.483, W, 7.483, W, 7.483, W, 7.483, W
201501YR90765, v2, 38.23, L, 17.076, W, 38.23, L, 38.23, L, 17.076, L, 17.076, W, 17.076, L, 0, L, 0, L, 0, L, 0, L, 0, L
2015170M12475, v1, 53.193, L, 31.041, L, 8.497, W, 8.497, L, 53.193, L, 31.041, L, 8.497, W, 8.497, L, 8.497, L, 0, L, 8.497, W, 8.497, L
2015170M12475, v2, 100, W, 31.503, W, 9.534, L, 41.036, W, 41.036, W, 31.503, W, 9.534, L, 41.036, W, 41.036, W, 15.648, W, 9.534, L, 41.036, W
201501XD80270, v1, 44.123, L, 0, L, 44.123, L, 44.123, L, 10.051, L, 0, L, 10.051, L, 10.051, L, 10.051, W, 10.051, W, 10.051, W, 10.051, W
201501XD80270, v2, 100, W, 19.218, W, 53.812, W, 53.812, W, 53.812, W, 19.218, W, 25.817, W, 25.817, W, 6.598, L, 6.598, L, 6.598, L, 6.598, L
2015210031981, v1, 48.118, W, 14.823, W, 21.135, W, 21.135, W, 48.118, W, 14.823, W, 21.135, W, 21.135, W, 21.135, W, 14.823, W, 6.312, W, 6.312, W
2015210031981, v2, 16.517, L, 15.428, L, 16.517, L, 16.517, L, 16.517, L, 15.428, L, 16.517, L, 16.517, L, 1.088, L, 0, L, 1.088, L, 0, L
201520J001215, v1, 59.42, W, 11.821, W, 11.821, W, 35.462, W, 11.821, W, 11.821, W, 11.821, W, 11.821, W, 11.821, W, 11.821, W, 11.821, W, 11.821, W
201520J001215, v2, 49.667, L, 0, L, 15.76, L, 49.667, L, 15.76, L, 0, L, 15.76, L, 0, L, 15.76, L, 0, L, 15.76, L, 0, L
201506M009563, v1, 18.924, W, 5.157, W, 18.924, W, 18.924, W, 18.924, W, 5.157, W, 18.924, W, 18.924, W, 5.157, L, 5.157, W, 5.157, L, 5.157, L
201506M009563, v2, 26.124, L, 5.581, L, 26.124, L, 6.667, L, 26.124, L, 5.581, L, 26.124, L, 6.667, L, 26.124, W, 5.581, L, 6.667, W, 6.667, W
201501EK40850, v1, 50.95, L, 0, L, 50.95, L, 50.95, L, 50.95, W, 0, L, 27.468, W, 27.468, W, 27.468, W, 0, L, 27.468, W, 27.468, W
